Nationality,No. Athletes
USA,206
UK,13
Germany,13
Switzerland,12
Portugal,10
Brazil,9
Argentina,9
Canada,6
Italy,4
Finland,3
France,3
Philippines,3
Russia,1
Australia,1
Dominican,1
Austria,1
Filipino,1
Spain,1
Serbia,1
Northern Ireland,1
Ireland,1
Mexico,1
